,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
Brown Sugar,77.0,77.0,76.0,56.0
Deuces Wild,77.0,77.0,73.0,56.0
Pinocchio,66.0,77.0,66.0,56.0
The Emperor's Club,77.0,77.0,76.0,56.0
All or Nothing,66.0,77.0,66.0,55.0
Sweet Sixteen,66.0,77.0,66.0,55.0
Real Women Have Curves,77.0,77.0,76.0,56.0
The Crocodile Hunter: Collision Course,77.0,77.0,73.0,56.0
City by the Sea,77.0,77.0,76.0,56.0
Heaven,66.0,77.0,66.0,55.0
XX/XY,77.0,77.0,76.0,56.0
Sonny,77.0,77.0,76.0,56.0
Kill Bill: Vol. 1,85.0,71.0,72.0,55.0
Pirates of the Caribbean: the Curse of the Black Pearl,85.0,71.0,72.0,55.0
The Lord of the Rings: The Return of the King,85.0,71.0,72.0,55.0
Old School,84.0,69.0,69.0,56.0
Mystic River,84.0,69.0,69.0,55.0
Love Actually,84.0,69.0,69.0,56.0
The Life of David Gale,84.0,69.0,69.0,55.0
2 Fast 2 Furious,84.0,73.0,73.0,56.0
Underworld,85.0,67.0,72.0,55.0
Oldboy,85.0,73.0,73.0,55.0
Lost in Translation,84.0,69.0,69.0,56.0
Looney Tunes: Back in Action,84.0,73.0,69.0,46.0
Big Fish,84.0,69.0,69.0,55.0
The Matrix Reloaded,85.0,71.0,72.0,55.0
The Dreamers,84.0,69.0,69.0,55.0
Memories of Murder,84.0,69.0,69.0,55.0
Finding Nemo,84.0,66.0,68.0,46.0
Hulk,84.0,73.0,73.0,56.0
School of Rock,84.0,69.0,69.0,56.0
Thirteen,84.0,73.0,76.0,56.0
Wrong Turn,84.0,73.0,76.0,56.0
The Italian Job,85.0,71.0,72.0,55.0
Terminator 3: Rise of the Machines,84.0,73.0,73.0,56.0
Peter Pan,84.0,73.0,76.0,56.0
Monster,82.0,76.0,63.0,55.0
The Matrix Revolutions,84.0,73.0,73.0,56.0
Daredevil,84.0,73.0,73.0,56.0
Master and Commander: the Far Side of the World,85.0,71.0,72.0,55.0
The Missing,84.0,73.0,76.0,56.0
The Room,84.0,76.0,78.0,78.0
The Texas Chainsaw Massacre,84.0,73.0,76.0,56.0
S.W.A.T.,84.0,73.0,73.0,58.0
The Last Samurai,85.0,71.0,72.0,55.0
Holes,84.0,69.0,69.0,58.0
Timeline,84.0,73.0,73.0,56.0
X2: X-Men United,85.0,71.0,72.0,55.0
The Rundown,84.0,73.0,73.0,56.0
House of 1000 Corpses,84.0,73.0,76.0,56.0
Identity,84.0,69.0,69.0,55.0
Once Upon a Time in Mexico,84.0,73.0,73.0,56.0
Swimming Pool,84.0,73.0,76.0,56.0
Cold Mountain,84.0,69.0,69.0,55.0
Cheaper by the Dozen,84.0,73.0,76.0,56.0
In the Cut,84.0,73.0,76.0,56.0
Secondhand Lions,84.0,69.0,69.0,56.0
Scary Movie 3,84.0,73.0,76.0,56.0
How to Lose a Guy in 10 Days,84.0,73.0,76.0,56.0
The League of Extraordinary Gentlemen,84.0,73.0,73.0,56.0
What a Girl Wants,83.0,73.0,76.0,53.0
Bad Boys II,84.0,73.0,73.0,56.0
Open Range,82.0,71.0,72.0,55.0
Mona Lisa Smile,84.0,73.0,76.0,58.0
Freddy vs. Jason,84.0,73.0,73.0,56.0
Bruce Almighty,84.0,73.0,76.0,56.0
Dogville,84.0,69.0,69.0,55.0
Elf,84.0,69.0,69.0,55.0
Freaky Friday,84.0,73.0,76.0,56.0
Charlie's Angels: Full Throttle,84.0,76.0,72.0,77.0
Legally Blonde 2,84.0,77.0,71.0,55.0
Dickie Roberts: Former Child Star,84.0,73.0,76.0,56.0
Anger Management,84.0,73.0,76.0,56.0
Open Water,84.0,73.0,76.0,56.0
Something's Gotta Give,84.0,73.0,76.0,56.0
Girl with a Pearl Earring,82.0,76.0,65.0,56.0
The Cat in the Hat,84.0,76.0,78.0,78.0
Brother Bear,82.0,68.0,69.0,46.0
The Brown Bunny,84.0,76.0,78.0,78.0
Tears of the Sun,84.0,67.0,73.0,56.0
Final Destination 2,84.0,73.0,76.0,56.0
21 Grams,84.0,69.0,69.0,55.0
Intolerable Cruelty,84.0,73.0,76.0,56.0
Johnny English,84.0,73.0,70.0,56.0
Matchstick Men,84.0,69.0,69.0,56.0
Under the Tuscan Sun,84.0,73.0,76.0,56.0
Seabiscuit,84.0,69.0,69.0,55.0
American Wedding,84.0,73.0,76.0,56.0
Just Married,84.0,77.0,76.0,55.0
High Tension,84.0,73.0,76.0,56.0
Lara Croft Tomb Raider: The Cradle of Life,84.0,73.0,73.0,58.0
Elephant,84.0,69.0,69.0,55.0
Darkness Falls,84.0,76.0,78.0,78.0
Spy Kids 3-D: Game Over,81.0,76.0,72.0,68.0
Gigli,84.0,67.0,69.0,50.0
Out of Time,83.0,73.0,76.0,53.0
The Core,84.0,73.0,73.0,56.0
Dumb and Dumberer: When Harry Met Lloyd,82.0,69.0,69.0,56.0
Runaway Jury,84.0,69.0,69.0,55.0
Jeepers Creepers 2,84.0,73.0,76.0,56.0
Shanghai Knights,84.0,73.0,72.0,55.0
Dreamcatcher,84.0,73.0,76.0,56.0
"Spring, Summer, Fall, Winter... and Spring",84.0,69.0,69.0,55.0
Daddy Day Care,84.0,73.0,76.0,56.0
Paycheck,84.0,73.0,73.0,56.0
Duplex,84.0,73.0,76.0,56.0
Honey,84.0,73.0,76.0,56.0
Wonderland,84.0,73.0,76.0,56.0
The Haunted Mansion,84.0,73.0,76.0,56.0
Sinbad: Legend of the Seven Seas,84.0,73.0,69.0,46.0
House of the Dead,84.0,69.0,72.0,50.0
Gods and Generals,82.0,64.0,65.0,56.0
House of Sand and Fog,84.0,69.0,69.0,55.0
A Man Apart,84.0,73.0,73.0,56.0
The Station Agent,84.0,69.0,69.0,56.0
Good Bye Lenin!,84.0,67.0,72.0,56.0
Basic,84.0,73.0,73.0,56.0
The Human Stain,84.0,73.0,76.0,56.0
Grind,83.0,73.0,76.0,53.0
Gothika,84.0,73.0,76.0,56.0
Agent Cody Banks,84.0,73.0,73.0,56.0
Ong-Bak: The Thai Warrior,84.0,70.0,72.0,53.0
Bad Santa,84.0,69.0,69.0,56.0
Shattered Glass,84.0,69.0,69.0,55.0
The Lizzie McGuire Movie,84.0,73.0,76.0,56.0
The Cooler,84.0,73.0,76.0,56.0
Cradle 2 the Grave,84.0,73.0,73.0,56.0
Uptown Girls,84.0,73.0,76.0,56.0
A Mighty Wind,84.0,69.0,69.0,56.0
Cold Creek Manor,84.0,76.0,78.0,78.0
Calendar Girls,84.0,73.0,76.0,56.0
Kal Ho Naa Ho,84.0,69.0,69.0,56.0
View from the Top,84.0,73.0,70.0,56.0
Malibu's Most Wanted,84.0,73.0,76.0,56.0
Kangaroo Jack,84.0,76.0,72.0,77.0
The Return,84.0,69.0,69.0,55.0
Radio,82.0,76.0,65.0,56.0
The Recruit,84.0,73.0,73.0,56.0
Coffee and Cigarettes,84.0,77.0,71.0,55.0
Young Adam,84.0,73.0,76.0,56.0
Hollywood Homicide,84.0,73.0,73.0,56.0
Evil,84.0,69.0,69.0,55.0
National Security,84.0,73.0,73.0,56.0
The Triplets of Belleville,84.0,66.0,68.0,46.0
Untold Scandal,84.0,73.0,76.0,56.0
Twentynine Palms,84.0,73.0,76.0,56.0
Stuck on You,84.0,73.0,76.0,56.0
Ned Kelly,84.0,73.0,73.0,56.0
Tokyo Godfathers,84.0,66.0,68.0,46.0
Dorm Daze,84.0,76.0,72.0,56.0
The Blind Swordsman: Zatoichi,85.0,71.0,72.0,55.0
Bright Young Things,84.0,73.0,76.0,56.0
Love Me If You Dare,84.0,69.0,69.0,56.0
Bulletproof Monk,84.0,73.0,73.0,56.0
Down with Love,84.0,73.0,76.0,56.0
Biker Boyz,84.0,76.0,72.0,77.0
The Green Butchers,84.0,69.0,69.0,56.0
The Medallion,84.0,73.0,73.0,56.0
American Splendor,82.0,76.0,63.0,55.0
The Shape of Things,84.0,73.0,76.0,56.0
Party Monster,82.0,76.0,65.0,56.0
Bringing Down the House,83.0,73.0,76.0,53.0
Willard,84.0,73.0,76.0,56.0
Love Don't Cost a Thing,84.0,73.0,76.0,56.0
The Best of Youth,84.0,69.0,69.0,55.0
The in-Laws,84.0,73.0,73.0,56.0
Confidence,84.0,73.0,76.0,56.0
Latter Days,84.0,69.0,69.0,56.0
Beyond Borders,84.0,73.0,76.0,56.0
It Runs in the Family,84.0,73.0,76.0,56.0
Chasing Papi,84.0,76.0,72.0,56.0
The Fighting Temptations,84.0,73.0,76.0,56.0
Anything Else,84.0,73.0,76.0,56.0
I Capture the Castle,84.0,73.0,76.0,56.0
Camp,84.0,73.0,72.0,55.0
The Jungle Book 2,84.0,73.0,69.0,46.0
My Boss's Daughter,84.0,76.0,72.0,56.0
A Guy Thing,84.0,73.0,76.0,56.0
Intermission,83.0,73.0,76.0,53.0
All the Real Girls,84.0,73.0,76.0,56.0
From Justin to Kelly,84.0,69.0,69.0,50.0
Owning Mahowny,84.0,69.0,69.0,55.0
Head of State,84.0,77.0,76.0,55.0
The Singing Detective,84.0,73.0,76.0,56.0
Pieces of April,84.0,69.0,69.0,56.0
Code 46,84.0,73.0,76.0,56.0
Time of the Wolf,84.0,73.0,72.0,55.0
Barely Legal,84.0,76.0,72.0,56.0
Nathalie...,84.0,73.0,76.0,56.0
The Order,84.0,73.0,76.0,56.0
Gozu,84.0,69.0,69.0,55.0
Veronica Guerin,82.0,76.0,65.0,56.0
Shade,84.0,73.0,76.0,56.0
The Mother,84.0,73.0,76.0,56.0
Sylvia,82.0,76.0,65.0,56.0
Rugrats Go Wild,84.0,73.0,69.0,46.0
The Divorce,84.0,76.0,72.0,58.0
Luther,82.0,76.0,65.0,56.0
Pride and Prejudice,84.0,73.0,76.0,56.0
Saints and Soldiers,84.0,73.0,73.0,56.0
Carandiru,84.0,75.0,93.0,55.0
Taxi 3,81.0,73.0,73.0,68.0
My Life Without Me,84.0,69.0,69.0,55.0
The Company,84.0,73.0,76.0,56.0
The Barbarian Invasions,84.0,69.0,69.0,56.0
Good Boy,84.0,73.0,70.0,56.0
The United States of Leland,84.0,69.0,69.0,55.0
How to Deal,84.0,73.0,76.0,56.0
It's All About Love,84.0,73.0,76.0,56.0
Masked and Anonymous,84.0,73.0,76.0,56.0
Control,74.0,73.0,63.0,56.0
The Girl Next Door,81.0,73.0,81.0,56.0
EuroTrip,81.0,73.0,81.0,56.0
Dodgeball: A True Underdog Story,81.0,73.0,81.0,56.0
White Chicks,81.0,73.0,81.0,56.0
Mean Girls,81.0,72.0,81.0,56.0
Harry Potter and the Prisoner of Azkaban,81.0,72.0,81.0,55.0
Troy,81.0,72.0,81.0,55.0
Eternal Sunshine of the Spotless Mind,81.0,72.0,81.0,55.0
Kill Bill: Vol. 2,83.0,73.0,80.0,55.0
The Notebook,81.0,72.0,81.0,55.0
The Terminal,81.0,72.0,81.0,56.0
Van Helsing,81.0,73.0,80.0,56.0
The Incredibles,81.0,68.0,76.0,46.0
Saw,81.0,72.0,81.0,55.0
Collateral,81.0,72.0,81.0,55.0
Spider-Man 2,83.0,73.0,80.0,55.0
The Punisher,81.0,73.0,80.0,56.0
"I, Robot",83.0,73.0,80.0,55.0
Howl's Moving Castle,81.0,68.0,76.0,46.0
Spanglish,81.0,73.0,81.0,56.0
Million Dollar Baby,81.0,72.0,81.0,55.0
Shaun of the Dead,81.0,72.0,81.0,56.0
The Village,81.0,73.0,81.0,56.0
My Summer of Love,81.0,73.0,81.0,56.0
The Butterfly Effect,81.0,72.0,81.0,55.0
The Day After Tomorrow,81.0,73.0,80.0,56.0
Layer Cake,83.0,73.0,80.0,53.0
Napoleon Dynamite,81.0,73.0,81.0,56.0
50 First Dates,81.0,73.0,81.0,56.0
Downfall,80.0,76.0,75.0,55.0
13 Going on 30,81.0,73.0,81.0,56.0
Shrek 2,81.0,68.0,76.0,46.0
The Bourne Supremacy,83.0,73.0,80.0,55.0
Dawn of the Dead,83.0,73.0,80.0,55.0
The Passion of the Christ,81.0,72.0,81.0,55.0
Resident Evil: Apocalypse,81.0,73.0,80.0,56.0
Hellboy,81.0,73.0,80.0,56.0
Anchorman: The Legend of Ron Burgundy,81.0,72.0,81.0,56.0
Walking Tall,81.0,73.0,80.0,56.0
The Life Aquatic with Steve Zissou,83.0,73.0,80.0,55.0
A Series of Unfortunate Events,81.0,73.0,81.0,56.0
The Machinist,81.0,72.0,81.0,55.0
Closer,81.0,72.0,81.0,55.0
National Treasure,81.0,73.0,80.0,56.0
Alexander,81.0,73.0,80.0,56.0
The Chronicles of Riddick,81.0,73.0,80.0,56.0
9 Songs,81.0,76.0,81.0,79.0
The Manchurian Candidate,81.0,73.0,81.0,56.0
King Arthur,81.0,73.0,80.0,56.0
Ocean's Twelve,81.0,73.0,81.0,56.0
Harold & Kumar Go to White Castle,81.0,72.0,81.0,55.0
Blade: Trinity,81.0,73.0,80.0,56.0
Alien vs. Predator,81.0,73.0,80.0,56.0
Meet the Fockers,81.0,73.0,81.0,56.0
Sideways,81.0,72.0,81.0,56.0
Friday Night Lights,83.0,73.0,80.0,55.0
Starsky & Hutch,81.0,73.0,81.0,56.0
Shark Tale,81.0,73.0,76.0,46.0
Before Sunset,81.0,72.0,81.0,55.0
Ella Enchanted,81.0,73.0,81.0,56.0
Primer,81.0,73.0,81.0,56.0
A Cinderella Story,81.0,73.0,81.0,56.0
Along Came Polly,81.0,73.0,81.0,56.0
Somersault,81.0,73.0,81.0,56.0
The SpongeBob SquarePants Movie,81.0,69.0,73.0,46.0
Scooby-Doo 2: Monsters Unleashed,81.0,73.0,81.0,56.0
The Ladykillers,81.0,73.0,81.0,56.0
Hotel Rwanda,80.0,68.0,75.0,55.0
Taking Lives,81.0,73.0,81.0,56.0
Kung Fu Hustle,83.0,73.0,80.0,55.0
The Perfect Score,81.0,73.0,81.0,56.0
Garden State,81.0,72.0,81.0,56.0
The Princess Diaries 2: Royal Engagement,81.0,73.0,81.0,56.0
Twisted,81.0,73.0,81.0,56.0
Catwoman,81.0,76.0,80.0,79.0
Seed of Chucky,81.0,76.0,74.0,56.0
2046,81.0,72.0,81.0,55.0
Torque,81.0,76.0,80.0,68.0
Ray,80.0,76.0,75.0,55.0
Chasing Liberty,81.0,73.0,81.0,56.0
Secret Window,81.0,73.0,81.0,56.0
Bride & Prejudice,81.0,73.0,81.0,56.0
Finding Neverland,80.0,76.0,75.0,55.0
Team America: World Police,83.0,73.0,80.0,55.0
Sleepover,81.0,73.0,81.0,56.0
The Grudge,81.0,73.0,81.0,56.0
Around the World in 80 Days,81.0,73.0,80.0,56.0
Wimbledon,81.0,73.0,81.0,56.0
The Adventures of Sharkboy and Lavagirl 3-D,81.0,76.0,80.0,79.0
The Polar Express,81.0,73.0,76.0,46.0
Without a Paddle,81.0,73.0,81.0,56.0
Miracle,80.0,76.0,75.0,55.0
Mindhunters,81.0,73.0,81.0,56.0
Mysterious Skin,82.0,70.0,81.0,53.0
The Prince and Me,81.0,73.0,81.0,56.0
Wicker Park,81.0,70.0,75.0,55.0
Cellular,81.0,73.0,80.0,56.0
Kinsey,80.0,76.0,75.0,55.0
Anacondas: The Hunt for the Blood Orchid,81.0,76.0,80.0,79.0
The Heart Is Deceitful Above All Things,81.0,73.0,81.0,56.0
Confessions of a Teenage Drama Queen,81.0,76.0,81.0,56.0
Raising Helen,81.0,73.0,81.0,56.0
Fat Albert,81.0,76.0,81.0,56.0
Sky Captain and the World of Tomorrow,81.0,73.0,80.0,56.0
The Final Cut,81.0,73.0,81.0,56.0
The Stepford Wives,81.0,73.0,81.0,56.0
Shall We Dance,81.0,73.0,81.0,56.0
House of Flying Daggers,79.0,72.0,80.0,51.0
District B13,81.0,74.0,80.0,68.0
Dead Man's Shoes,81.0,72.0,81.0,55.0
After the Sunset,81.0,73.0,80.0,56.0
A Very Long Engagement,81.0,72.0,81.0,55.0
The Forgotten,81.0,73.0,81.0,56.0
Flight of the Phoenix,81.0,73.0,80.0,56.0
Saved!,81.0,73.0,81.0,56.0
Garfield,81.0,76.0,76.0,45.0
In Good Company,81.0,73.0,81.0,56.0
First Daughter,81.0,73.0,81.0,56.0
Jersey Girl,81.0,73.0,81.0,56.0
The Alamo,81.0,73.0,81.0,56.0
A Love Song for Bobby Long,81.0,72.0,81.0,55.0
Raise Your Voice,81.0,73.0,81.0,56.0
Hidalgo,81.0,73.0,80.0,56.0
Bridget Jones: The Edge of Reason,81.0,73.0,81.0,56.0
Mean Creek,81.0,72.0,81.0,55.0
Dirty Dancing: Havana Nights,81.0,73.0,81.0,56.0
D.E.B.S.,81.0,73.0,80.0,56.0
The Motorcycle Diaries,81.0,72.0,81.0,55.0
Club Dread,81.0,73.0,81.0,56.0
Eros,81.0,73.0,81.0,56.0
Bad Education,81.0,72.0,81.0,55.0
Soul Plane,81.0,76.0,81.0,56.0
3-Iron,81.0,72.0,81.0,55.0
Thunderbirds,81.0,76.0,80.0,79.0
New York Minute,81.0,76.0,81.0,56.0
Birth,81.0,73.0,81.0,56.0
Vanity Fair,81.0,73.0,81.0,56.0
Exorcist: the Beginning,81.0,73.0,75.0,55.0
A Dirty Shame,81.0,73.0,81.0,56.0
Swades,81.0,72.0,81.0,55.0
I Heart Huckabees,81.0,73.0,81.0,56.0
The Sea Inside,80.0,76.0,75.0,55.0
The Door in the Floor,81.0,73.0,81.0,56.0
The Whole Ten Yards,81.0,73.0,81.0,56.0
Envy,81.0,76.0,81.0,56.0
Alfie,81.0,73.0,81.0,56.0
Superbabies: Baby Geniuses 2,81.0,72.0,81.0,56.0
Nobody Knows,81.0,72.0,81.0,55.0
Black Friday,83.0,73.0,80.0,55.0
Johnson Family Vacation,81.0,76.0,81.0,56.0
The Chorus,81.0,72.0,81.0,56.0
The Woodsman,81.0,66.0,74.0,55.0
Three... Extremes,81.0,72.0,81.0,55.0
Spartan,81.0,73.0,80.0,56.0
Home on the Range,81.0,73.0,76.0,46.0
Christmas with the Kranks,81.0,73.0,81.0,56.0
Win a Date with Tad Hamilton!,81.0,73.0,81.0,56.0
Night Watch,81.0,73.0,75.0,55.0
The Merchant of Venice,81.0,72.0,81.0,55.0
Ladder 49,81.0,73.0,80.0,56.0
The Libertine,80.0,76.0,74.0,55.0
Ma mère,81.0,73.0,81.0,56.0
You Got Served,81.0,76.0,81.0,79.0
A Good Woman,81.0,73.0,81.0,56.0
Beyond the Sea,80.0,76.0,75.0,56.0
Ladies in Lavender,81.0,72.0,81.0,55.0
Eulogy,81.0,73.0,81.0,56.0
Before the Fall,81.0,72.0,81.0,55.0
Saving Face,81.0,72.0,81.0,56.0
The Big Bounce,81.0,76.0,81.0,56.0
Veer-Zaara,81.0,72.0,81.0,55.0
Little Black Book,81.0,73.0,81.0,56.0
Laws of Attraction,81.0,73.0,81.0,56.0
Undertow,81.0,73.0,81.0,56.0
Head in the Clouds,81.0,73.0,81.0,56.0
Maria Full of Grace,81.0,72.0,81.0,55.0
Vera Drake,81.0,72.0,81.0,55.0
Millions,81.0,73.0,81.0,56.0
It's All Gone Pete Tong,80.0,76.0,75.0,55.0
Catch That Kid,81.0,73.0,80.0,56.0
Lakshya,83.0,73.0,80.0,55.0
Main Hoon Na,83.0,73.0,80.0,55.0
Tae Guk Gi: The Brotherhood of War,83.0,73.0,80.0,55.0
Lila dit ça,81.0,73.0,81.0,56.0
Five Times Two,81.0,73.0,81.0,56.0
She Hate Me,81.0,73.0,81.0,56.0
Mind Game,81.0,68.0,76.0,46.0
As It Is in Heaven,81.0,72.0,81.0,56.0
Palindromes,81.0,73.0,81.0,56.0
Dhoom,81.0,73.0,80.0,56.0
Welcome to Mooseport,81.0,73.0,81.0,56.0
Ghost in the Shell 2: Innocence,81.0,68.0,76.0,46.0
Clifford's Really Big Movie,78.0,73.0,76.0,54.0
Summer Storm,81.0,72.0,81.0,56.0
Melinda and Melinda,81.0,73.0,81.0,56.0
Harry Potter and the Goblet of Fire,55.0,55.0,55.0,55.0
The 40-Year-Old Virgin,56.0,56.0,56.0,56.0
Memoirs of a Geisha,55.0,55.0,55.0,55.0
Pride & Prejudice,55.0,55.0,55.0,55.0
Batman Begins,88.0,72.0,72.0,55.0
The Descent,55.0,55.0,55.0,55.0
Brokeback Mountain,55.0,55.0,55.0,55.0
Sin City,55.0,55.0,55.0,55.0
Charlie and the Chocolate Factory,77.0,73.0,76.0,56.0
V for Vendetta,88.0,72.0,72.0,55.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",77.0,73.0,76.0,56.0
Wedding Crashers,77.0,73.0,76.0,56.0
War of the Worlds,77.0,73.0,76.0,56.0
Kingdom of Heaven,88.0,72.0,72.0,55.0
Constantine,88.0,67.0,72.0,55.0
Star Wars: Episode III - Revenge of the Sith,88.0,72.0,72.0,55.0
King Kong,88.0,72.0,72.0,55.0
The Hitchhiker's Guide to the Galaxy,77.0,73.0,76.0,56.0
Fantastic Four,77.0,76.0,73.0,56.0
Green Street Hooligans,55.0,55.0,55.0,55.0
Serenity,87.0,73.0,73.0,55.0
Mr. & Mrs. Smith,77.0,73.0,73.0,56.0
Waiting...,77.0,73.0,76.0,56.0
Match Point,55.0,55.0,55.0,55.0
Hostel,77.0,73.0,76.0,56.0
Sky High,77.0,73.0,76.0,56.0
Assault on Precinct 13,77.0,73.0,73.0,56.0
Madagascar,77.0,73.0,69.0,46.0
Hard Candy,55.0,55.0,55.0,55.0
The Sisterhood of the Traveling Pants,77.0,73.0,76.0,56.0
The Longest Yard,77.0,73.0,76.0,56.0
Red Eye,81.0,68.0,76.0,56.0
House of Wax,77.0,73.0,76.0,56.0
Four Brothers,77.0,73.0,73.0,56.0
The Dukes of Hazzard,77.0,73.0,76.0,56.0
The Interpreter,77.0,73.0,76.0,56.0
Walk the Line,79.0,76.0,63.0,55.0
Lords of Dogtown,79.0,76.0,63.0,55.0
Munich,88.0,72.0,72.0,55.0
Kiss Kiss Bang Bang,56.0,56.0,56.0,56.0
The Constant Gardener,55.0,55.0,55.0,55.0
The Pacifier,77.0,73.0,73.0,56.0
A History of Violence,55.0,55.0,55.0,55.0
The Devil's Rejects,77.0,73.0,76.0,56.0
Hitch,77.0,73.0,76.0,56.0
Mirrormask,77.0,73.0,76.0,56.0
Rent,77.0,73.0,76.0,56.0
Robots,77.0,73.0,69.0,46.0
Jarhead,88.0,72.0,72.0,55.0
Into the Blue,77.0,73.0,73.0,56.0
Saw II,77.0,73.0,76.0,56.0
Revolver,77.0,73.0,73.0,56.0
Flightplan,77.0,73.0,76.0,56.0
Coach Carter,79.0,76.0,63.0,55.0
Dark Water,82.0,73.0,76.0,53.0
Lord of War,88.0,72.0,72.0,55.0
Zathura: A Space Adventure,77.0,73.0,73.0,56.0
The Quiet,77.0,73.0,76.0,56.0
The Amityville Horror,77.0,73.0,76.0,56.0
Be Cool,77.0,73.0,76.0,56.0
Just Friends,77.0,73.0,76.0,56.0
"Yours, Mine & Ours",77.0,73.0,76.0,56.0
Cinderella Man,79.0,76.0,63.0,55.0
Nanny McPhee,77.0,73.0,76.0,56.0
The Brothers Grimm,77.0,73.0,73.0,56.0
Corpse Bride,57.0,57.0,68.0,46.0
Transporter 2,77.0,73.0,70.0,56.0
Two for the Money,77.0,73.0,76.0,56.0
The New World,79.0,76.0,65.0,56.0
Brick,88.0,72.0,72.0,55.0
Wolf Creek,77.0,73.0,76.0,56.0
Breakfast on Pluto,56.0,56.0,56.0,56.0
The Exorcism of Emily Rose,77.0,73.0,76.0,56.0
Elektra,73.0,76.0,72.0,73.0
Doom,82.0,73.0,73.0,53.0
The Legend of Zorro,77.0,73.0,73.0,56.0
Cheaper by the Dozen 2,77.0,73.0,76.0,56.0
Æon Flux,77.0,73.0,73.0,56.0
Son of the Mask,56.0,56.0,56.0,56.0
Rumor Has It...,77.0,73.0,76.0,56.0
The Producers,77.0,73.0,76.0,56.0
The Ringer,77.0,73.0,76.0,56.0
Kicking & Screaming,77.0,73.0,76.0,56.0
The Cave,77.0,73.0,73.0,56.0
Lady Vengeance,55.0,55.0,55.0,55.0
Broken Flowers,56.0,56.0,56.0,56.0
Fun with Dick and Jane,77.0,73.0,76.0,56.0
Imagine Me & You,77.0,73.0,76.0,56.0
The Family Stone,77.0,73.0,76.0,56.0
Just Like Heaven,77.0,73.0,76.0,56.0
Capote,79.0,76.0,70.0,55.0
The Skeleton Key,77.0,73.0,76.0,56.0
The Squid and the Whale,56.0,56.0,56.0,56.0
Land of the Dead,77.0,73.0,76.0,56.0
Elizabethtown,77.0,73.0,76.0,56.0
Chicken Little,77.0,73.0,69.0,46.0
Monster-in-Law,77.0,73.0,76.0,56.0
Domino,77.0,73.0,73.0,56.0
The Ring Two,77.0,73.0,76.0,56.0
London,77.0,73.0,76.0,56.0
Deuce Bigalow: European Gigolo,66.0,76.0,66.0,56.0
Harsh Times,77.0,73.0,73.0,56.0
Diary of a Mad Black Woman,77.0,73.0,76.0,56.0
Herbie Fully Loaded,76.0,76.0,76.0,76.0
Wallace & Gromit: The Curse of the Were-Rabbit,81.0,68.0,68.0,46.0
Casanova,77.0,73.0,76.0,56.0
The Jacket,55.0,55.0,55.0,55.0
The Wedding Date,77.0,73.0,76.0,56.0
Thank You for Smoking,56.0,56.0,56.0,56.0
Hide and Seek,77.0,73.0,76.0,56.0
Cursed,66.0,76.0,66.0,56.0
Miss Congeniality 2: Armed & Fabulous,77.0,73.0,73.0,56.0
Bad News Bears,77.0,73.0,76.0,56.0
Kinky Boots,56.0,56.0,56.0,56.0
xXx: State of the Union,73.0,76.0,72.0,73.0
Syriana,77.0,73.0,76.0,56.0
North Country,55.0,55.0,55.0,55.0
Derailed,77.0,73.0,76.0,56.0
Romance & Cigarettes,82.0,73.0,76.0,53.0
The Perfect Man,77.0,73.0,76.0,56.0
Unleashed,88.0,72.0,72.0,55.0
Hostage,77.0,73.0,73.0,56.0
The Greatest Game Ever Played,79.0,76.0,63.0,55.0
Caché (Hidden),58.0,58.0,58.0,58.0
Get Rich or Die Tryin',79.0,76.0,65.0,58.0
Bewitched,66.0,76.0,66.0,56.0
Hoodwinked,77.0,73.0,69.0,46.0
Adam's Apples,56.0,56.0,56.0,56.0
BloodRayne,72.0,72.0,72.0,72.0
The Three Burials of Melquiades Estrada,66.0,67.0,66.0,55.0
Feast,77.0,73.0,73.0,56.0
Goal! The Dream Begins,77.0,73.0,76.0,56.0
The Notorious Bettie Page,79.0,76.0,65.0,56.0
Man-Thing,73.0,76.0,72.0,73.0
"Good Night, and Good Luck.",79.0,76.0,63.0,55.0
Ice Princess,77.0,73.0,76.0,56.0
A Lot Like Love,77.0,73.0,76.0,56.0
Cry Wolf,77.0,73.0,76.0,56.0
The Proposition,55.0,55.0,55.0,55.0
The World's Fastest Indian,79.0,76.0,63.0,55.0
Stealth,77.0,67.0,73.0,56.0
Hustle & Flow,55.0,55.0,55.0,55.0
The Matador,77.0,73.0,76.0,56.0
In Her Shoes,77.0,73.0,76.0,56.0
Because of Winn-Dixie,77.0,73.0,76.0,56.0
Where the Truth Lies,77.0,73.0,76.0,56.0
Must Love Dogs,77.0,73.0,76.0,56.0
Guess Who,82.0,73.0,76.0,53.0
The Ballad of Jack and Rose,77.0,73.0,76.0,56.0
Stay,77.0,73.0,76.0,56.0
The Great Raid,77.0,73.0,73.0,56.0
Tideland,77.0,73.0,76.0,56.0
Roll Bounce,77.0,73.0,76.0,56.0
Alone in the Dark,72.0,72.0,72.0,72.0
An American Haunting,77.0,73.0,76.0,56.0
Supercross,73.0,76.0,72.0,73.0
Oliver Twist,77.0,73.0,76.0,56.0
White Noise,77.0,73.0,76.0,56.0
